session_id,target
1,9.12812553791e-10
2,2.73250019904e-11
3,2.53534668918e-07
4,3.43325008958e-11
5,2.56589175748e-05
6,3.47689973196e-10
7,8.21016139147e-12
8,1.17990238066e-05
9,2.69726801037e-10
10,1.67377440747e-08
11,0.000524878091262
12,1.41910190605e-10
13,7.67052378654e-10
14,2.78527362326e-07
15,3.14659007729e-05
16,1.4256415017e-09
17,0.06163536458
18,8.07621775016e-11
19,6.54642447844e-06
20,4.29466728166e-11
21,0.0458657688711
22,2.52921363755e-12
23,6.63375185032e-10
24,7.30054893811e-10
25,5.75434880679e-06
26,7.12564546407e-05
27,7.41869361412e-10
28,1.81014209638e-07
29,0.00122068047323
30,0.00094617067212
31,0.146398187997
32,0.155865693436
33,7.46936633966e-10
34,5.21615839878e-06
35,7.76939664428e-09
36,9.89816086749e-15
37,1.94753800003e-12
38,4.65949677395e-11
39,0.000218578772878
40,3.19821094065e-11
41,0.00369082609163
42,2.37706422629e-10
43,0.000345920982895
44,5.94690068278e-13
45,0.083958402949
46,0.00158594004394
47,3.657947859e-06
48,2.03617421188e-12
49,0.000851915784585
50,6.8852102813e-06
51,1.98916135847e-11
52,1.25070459029e-06
53,2.79697513646e-05
54,3.55790314582e-07
55,0.0258262806018
56,4.00872625341e-11
57,3.79909384394e-12
58,3.23941473407e-11
59,3.6534252889e-11
60,2.75757359857e-14
61,6.05380466405e-06
62,7.89803512342e-10
63,3.85869298181e-12
64,0.00388214742208
65,3.47267170015e-06
66,3.33714491897e-11
67,8.03132710046e-05
68,0.0359589655385
69,2.17739575764e-10
70,7.98617585114e-11
71,0.00113959051711
72,3.28029239265e-05
73,3.14885829889e-08
74,5.22644894166e-06
75,2.8413751862e-10
76,7.35019934331e-06
77,8.06276842823e-05
78,0.000761929048139
79,6.48423321897e-13
80,6.66219639334e-11
81,1.83551272376e-10
82,5.80852947866e-11
83,5.2087153176e-12
84,0.764557002877
85,0.000452991794187
86,2.29969229334e-06
87,0.00101545794144
88,5.89898663742e-10
89,4.27286825901e-10
90,0.0417331549684
91,9.27148646531e-11
92,3.1597246079e-11
93,0.180203562117
94,1.39561214765e-07
95,3.1830810701e-12
96,1.63811107812e-11
97,0.027719525144
98,1.31122577823e-10
99,2.47445149519e-13
100,0.000519742122332
101,6.14941992907e-12
102,8.08390676281e-10
103,5.1882577624e-10
104,0.00038812204756
105,1.42637217963e-07
106,2.49031736072e-05
107,2.73097921775e-10
108,0.00115765195321
109,8.94171114554e-11
110,8.09062009408e-11
111,6.10163995153e-07
112,7.42279923673e-07
113,4.03688791367e-09
114,4.66171943699e-11
115,3.12801136372e-13
116,9.76365389427e-15
117,1.76014302583e-09
118,1.29656206836e-09
119,1.91253111808e-10
120,7.86334247281e-05
121,1.35641799734e-10
122,3.3093078072e-11
123,1.52408918022e-05
124,0.0028099199115
125,0.0141972045537
126,5.44316644499e-12
127,1.62751177794e-11
128,2.20346799154e-10
129,1.24671201905e-10
130,0.000663106836643
131,1.58100568401e-09
132,2.01263228876e-05
133,0.0176239435986
134,0.000599300301851
135,2.68898167631e-10
136,0.000239993919867
137,5.4055474432e-08
138,0.000330566293709
139,7.7212645302e-11
140,1.71950918916e-10
141,1.76097816257e-11
142,5.43497728957e-07
143,2.42058359362e-09
144,0.000102986807368
145,7.74972184455e-12
146,2.37821087264e-09
147,2.95508949758e-11
148,0.0455889003073
149,1.19406036661e-10
150,0.0240809346272
151,6.76631717539e-11
152,0.0287456978909
153,3.0117970105e-10
154,3.31706678816e-06
155,0.000347364834937
156,2.40968669526e-11
157,7.36978443542e-11
158,0.0115652249347
159,2.46137978021e-10
160,1.60797467448e-11
161,0.0663314696762
162,1.14048790388e-06
